Game,Average 7-Day Viewers,Hours Watched,Date
Rainbow Six Siege,11635,1946954,2023-08-03
The Division 2,470,78579,2023-08-03
Assasins Creed Valhalla,148,24729,2023-08-03
Assasin Creed Mirage,0,0,2023-08-03
Watch Dogs: Legion,61,10206,2023-08-03
Rainbow Six Siege,13418,2247584,2023-08-07
The Division 2,472,79084,2023-08-07
Assasins Creed Valhalla,177,29648,2023-08-07
Watch Dogs: Legion,20,3279,2023-08-07
Rainbow Six Siege,13418,2247584,2023-08-07
The Division 2,472,79084,2023-08-07
Assasins Creed Valhalla,177,29648,2023-08-07
Watch Dogs: Legion,20,3279,2023-08-07
