Game,Average 7-Day Viewers,Hours Watched,Date
Call of Duty: Modern Warfare II,10739,1798702,2023-08-07
Call of Duty: Warzone,34712,5814187,2023-08-07
Overwatch 2,17044,2854890,2023-08-07
Diablo IV,13162,2204582,2023-08-07
World of Warcraft,25513,4273428,2023-08-07
Call of Duty: Modern Warfare II,10739,1798702,2023-08-07
Call of Duty: Warzone,34712,5814187,2023-08-07
Overwatch 2,17044,2854890,2023-08-07
Diablo IV,13162,2204582,2023-08-07
World of Warcraft,25513,4273428,2023-08-07
Call of Duty: Modern Warfare II,10739,1798702,2023-08-07
Call of Duty: Warzone,34712,5814187,2023-08-07
Overwatch 2,17044,2854890,2023-08-07
Diablo IV,13162,2204582,2023-08-07
World of Warcraft,25513,4273428,2023-08-07
